Date,BtcPrice,SpPrice
1/1/2011,0.3,1271.87
1/2/2011,0.3,1271.87
1/3/2011,0.3,1271.87
1/4/2011,0.3,1270.2
1/5/2011,0.3,1276.56
1/6/2011,0.3,1273.85
1/7/2011,0.3,1271.5
1/8/2011,0.3,1271.5
1/9/2011,0.3,1271.5
1/10/2011,0.3,1269.75
1/11/2011,0.3,1274.48
1/12/2011,0.3,1285.96
1/13/2011,0.3,1283.76
1/14/2011,0.4,1293.24
1/15/2011,0.4,1293.24
1/16/2011,0.4,1293.24
1/17/2011,0.3,1293.24
1/18/2011,0.3,1295.02
1/19/2011,0.3,1281.92
1/20/2011,0.4,1280.26
1/21/2011,0.4,1283.35
1/22/2011,0.4,1283.35
1/23/2011,0.4,1283.35
1/24/2011,0.4,1290.84
1/25/2011,0.4,1291.18
1/26/2011,0.4,1296.63
1/27/2011,0.4,1299.54
1/28/2011,0.4,1276.34
1/29/2011,0.4,1276.34
1/30/2011,0.5,1276.34
1/31/2011,0.5,1286.12
2/1/2011,0.7,1307.59
2/2/2011,0.7,1304.03
2/3/2011,0.7,1307.1
2/4/2011,0.8,1310.87
2/5/2011,0.9,1310.87
2/6/2011,0.9,1310.87
2/7/2011,0.9,1319.05
2/8/2011,0.9,1324.57
2/9/2011,1.1,1320.88
2/10/2011,1,1321.87
2/11/2011,1.1,1329.15
2/12/2011,1.1,1329.15
2/13/2011,1,1329.15
2/14/2011,1.1,1332.32
2/15/2011,1,1328.01
2/16/2011,1,1336.32
2/17/2011,1,1340.43
2/18/2011,0.9,1343.01
2/19/2011,0.9,1343.01
2/20/2011,0.9,1343.01
2/21/2011,0.8,1343.01
2/22/2011,0.9,1315.44
2/23/2011,0.9,1307.4
2/24/2011,1,1306.1
2/25/2011,0.9,1319.88
2/26/2011,1,1319.88
2/27/2011,0.9,1319.88
2/28/2011,0.9,1327.22
3/1/2011,0.9,1306.33
3/2/2011,0.9,1308.44
3/3/2011,0.9,1330.97
3/4/2011,0.9,1321.15
3/5/2011,0.9,1321.15
3/6/2011,0.9,1321.15
3/7/2011,0.9,1310.13
3/8/2011,0.9,1321.82
3/9/2011,0.9,1320.02
3/10/2011,0.9,1295.11
3/11/2011,0.9,1304.28
3/12/2011,0.9,1304.28
3/13/2011,0.9,1304.28
3/14/2011,0.9,1296.39
3/15/2011,0.9,1281.87
3/16/2011,0.9,1256.88
3/17/2011,0.8,1273.72
3/18/2011,0.8,1279.21
3/19/2011,0.8,1279.21
3/20/2011,0.7,1279.21
3/21/2011,0.8,1298.38
3/22/2011,0.8,1293.77
3/23/2011,0.8,1297.54
3/24/2011,0.9,1309.66
3/25/2011,0.9,1313.8
3/26/2011,0.9,1313.8
3/27/2011,0.8,1313.8
3/28/2011,0.8,1310.19
3/29/2011,0.8,1319.44
3/30/2011,0.8,1328.26
3/31/2011,0.8,1325.83
4/1/2011,0.8,1332.41
4/2/2011,0.8,1332.41
4/3/2011,0.8,1332.41
4/4/2011,0.7,1332.87
4/5/2011,0.7,1332.63
4/6/2011,0.7,1335.54
4/7/2011,0.8,1333.51
4/8/2011,0.8,1328.17
4/9/2011,0.7,1328.17
4/10/2011,0.7,1328.17
4/11/2011,0.8,1324.46
4/12/2011,0.9,1314.16
4/13/2011,0.9,1314.41
4/14/2011,1,1314.52
4/15/2011,1,1319.68
4/16/2011,1,1319.68
4/17/2011,1.1,1319.68
4/18/2011,1.2,1305.14
4/19/2011,1.2,1312.62
4/20/2011,1.1,1330.36
4/21/2011,1.2,1337.38
4/22/2011,1.4,1337.38
4/23/2011,1.7,1337.38
4/24/2011,1.6,1337.38
4/25/2011,1.6,1335.25
4/26/2011,1.8,1347.24
4/27/2011,1.9,1355.66
4/28/2011,2.2,1360.48
4/29/2011,2.9,1363.61
4/30/2011,3.5,1363.61
5/1/2011,3,1363.61
5/2/2011,3.2,1361.22
5/3/2011,3.4,1356.62
5/4/2011,3.4,1347.32
5/5/2011,3.3,1335.1
5/6/2011,3.5,1340.2
5/7/2011,3.6,1340.2
5/8/2011,3.9,1340.2
5/9/2011,3.8,1346.29
5/10/2011,5.8,1357.16
5/11/2011,5.5,1342.08
5/12/2011,6.3,1348.65
5/13/2011,8.2,1337.77
5/14/2011,7.2,1337.77
5/15/2011,7,1337.77
5/16/2011,8,1329.47
5/17/2011,7.2,1328.98
5/18/2011,6.9,1340.68
5/19/2011,6.8,1343.6
5/20/2011,5.6,1333.27
5/21/2011,6.1,1333.27
5/22/2011,6.7,1333.27
5/23/2011,7.2,1317.37
5/24/2011,7.4,1316.28
5/25/2011,8.4,1320.47
5/26/2011,8.8,1325.69
5/27/2011,8.5,1331.1
5/28/2011,8.3,1331.1
5/29/2011,8.4,1331.1
5/30/2011,8.8,1331.1
5/31/2011,8.7,1345.2
6/1/2011,9.6,1314.55
6/2/2011,10.6,1312.94
6/3/2011,14.3,1300.16
6/4/2011,18.9,1300.16
6/5/2011,16.7,1300.16
6/6/2011,18.5,1286.17
6/7/2011,23.9,1284.94
6/8/2011,29.6,1279.56
6/9/2011,28.9,1289
6/10/2011,24,1270.98
6/11/2011,14.6,1270.98
6/12/2011,18.5,1270.98
6/13/2011,19.8,1271.83
6/14/2011,19.3,1287.87
6/15/2011,19.5,1265.42
6/16/2011,17,1267.64
6/17/2011,15.7,1271.5
6/18/2011,16.9,1271.5
6/19/2011,17.5,1271.5
6/20/2011,17.5,1278.36
6/21/2011,17.5,1295.52
6/22/2011,17.5,1287.14
6/23/2011,17.5,1283.5
6/24/2011,17.5,1268.45
6/25/2011,17.5,1268.45
6/26/2011,16.5,1268.45
6/27/2011,16.8,1280.1
6/28/2011,17,1296.67
6/29/2011,16.9,1307.41
6/30/2011,16.1,1320.64
7/1/2011,15.4,1339.67
7/2/2011,15.4,1339.67
7/3/2011,15.4,1339.67
7/4/2011,13.9,1339.67
7/5/2011,12.9,1337.88
7/6/2011,14.8,1339.22
7/7/2011,14.8,1353.22
7/8/2011,14.3,1343.8
7/9/2011,14.4,1343.8
7/10/2011,14.9,1343.8
7/11/2011,14.2,1319.49
7/12/2011,14,1313.64
7/13/2011,13.9,1317.72
7/14/2011,14,1308.87
7/15/2011,13.8,1316.14
7/16/2011,13.7,1316.14
7/17/2011,13.2,1316.14
7/18/2011,13.5,1305.44
7/19/2011,13.9,1326.73
7/20/2011,13.7,1325.84
7/21/2011,13.6,1343.8
7/22/2011,13.7,1345.02
7/23/2011,13.7,1345.02
7/24/2011,14,1345.02
7/25/2011,14.1,1337.43
7/26/2011,13.9,1331.94
7/27/2011,13.9,1304.89
7/28/2011,13.5,1300.67
7/29/2011,13.5,1292.28
7/30/2011,13.5,1292.28
7/31/2011,13.4,1292.28
8/1/2011,13.1,1286.94
8/2/2011,12.1,1254.05
8/3/2011,9.3,1260.34
8/4/2011,10.8,1200.07
8/5/2011,9.8,1199.38
8/6/2011,6.6,1199.38
8/7/2011,7.9,1199.38
8/8/2011,7.8,1119.46
8/9/2011,10,1172.53
8/10/2011,10,1120.76
8/11/2011,9.5,1172.64
8/12/2011,9.5,1178.81
8/13/2011,10.1,1178.81
8/14/2011,10.8,1178.81
8/15/2011,11.1,1204.49
8/16/2011,11,1192.76
8/17/2011,10.9,1193.89
8/18/2011,10.8,1140.65
8/19/2011,11.6,1123.53
8/20/2011,11.4,1123.53
8/21/2011,11.3,1123.53
8/22/2011,10.9,1123.82
8/23/2011,10.9,1162.35
8/24/2011,10.9,1177.6
8/25/2011,9.7,1159.27
8/26/2011,8.2,1176.8
8/27/2011,8.6,1176.8
8/28/2011,9.1,1176.8
8/29/2011,9,1210.08
8/30/2011,8.8,1212.92
8/31/2011,8.2,1218.89
9/1/2011,8.2,1204.42
9/2/2011,8.6,1173.97
9/3/2011,8.5,1173.97
9/4/2011,8.2,1173.97
9/5/2011,7.6,1173.97
9/6/2011,6.9,1165.24
9/7/2011,7.2,1198.62
9/8/2011,6.5,1185.9
9/9/2011,5,1154.23
9/10/2011,4.8,1154.23
9/11/2011,5.9,1154.23
9/12/2011,6.1,1162.27
9/13/2011,5.8,1172.87
9/14/2011,5.6,1188.68
9/15/2011,4.8,1209.11
9/16/2011,4.8,1216.01
9/17/2011,4.8,1216.01
9/18/2011,5.2,1216.01
9/19/2011,5.5,1204.09
9/20/2011,6.1,1202.09
9/21/2011,5.6,1166.76
9/22/2011,5.4,1129.56
9/23/2011,5.6,1136.43
9/24/2011,5.5,1136.43
9/25/2011,5.3,1136.43
9/26/2011,4.9,1162.95
9/27/2011,4.9,1175.38
9/28/2011,4.8,1151.06
9/29/2011,4.8,1160.4
9/30/2011,5.1,1131.42
10/1/2011,5,1131.42
10/2/2011,5,1131.42
10/3/2011,5,1099.23
10/4/2011,5,1123.95
10/5/2011,4.9,1144.03
10/6/2011,4.7,1164.97
10/7/2011,4.3,1155.46
10/8/2011,4,1155.46
10/9/2011,4.1,1155.46
10/10/2011,4.1,1194.89
10/11/2011,3.9,1195.54
10/12/2011,4.2,1207.25
10/13/2011,4.1,1203.66
10/14/2011,4,1224.58
10/15/2011,3.8,1224.58
10/16/2011,3.6,1224.58
10/17/2011,2.6,1200.86
10/18/2011,2.4,1225.38
10/19/2011,2.3,1209.88
10/20/2011,2.3,1215.39
10/21/2011,2.6,1238.25
10/22/2011,3.2,1238.25
10/23/2011,3.2,1238.25
10/24/2011,2.5,1254.19
10/25/2011,2.8,1229.05
10/26/2011,2.8,1242
10/27/2011,3,1284.59
10/28/2011,3.2,1285.09
10/29/2011,3.6,1285.09
10/30/2011,3.3,1285.09
10/31/2011,3.3,1253.3
11/1/2011,3.2,1218.28
11/2/2011,3.3,1237.9
11/3/2011,3.2,1261.15
11/4/2011,3.1,1253.23
11/5/2011,3,1253.23
11/6/2011,3,1253.23
11/7/2011,3,1261.12
11/8/2011,3,1275.92
11/9/2011,3,1229.1
11/10/2011,2.8,1239.69
11/11/2011,3.1,1263.85
11/12/2011,3,1263.85
11/13/2011,3,1263.85
11/14/2011,2.2,1251.78
11/15/2011,2.3,1257.81
11/16/2011,2.6,1236.91
11/17/2011,2.3,1216.13
11/18/2011,2,1215.65
11/19/2011,2.2,1215.65
11/20/2011,2.2,1215.65
11/21/2011,2.3,1192.98
11/22/2011,2.3,1188.04
11/23/2011,2.3,1161.79
11/24/2011,2.4,1161.79
11/25/2011,2.5,1158.67
11/26/2011,2.5,1158.67
11/27/2011,2.5,1158.67
11/28/2011,2.5,1192.55
11/29/2011,2.8,1195.19
11/30/2011,3,1246.96
12/1/2011,3.1,1244.58
12/2/2011,3.1,1244.28
12/3/2011,2.8,1244.28
