id,pop,shop,brand,container,capacity,price,quantity
0,672130,shop_1,kinder-cola,glass,500ml,0.96,13280
1,672130,shop_1,kinder-cola,plastic,1.5lt,2.86,6727
2,672130,shop_1,kinder-cola,can,330ml,0.87,9848
3,672130,shop_1,adult-cola,glass,500ml,1,20050
4,672130,shop_1,adult-cola,can,330ml,0.39,25696
5,672130,shop_1,orange-power,glass,500ml,1,15041
6,672130,shop_1,orange-power,can,330ml,0.43,34578
7,672130,shop_1,gazoza,glass,500ml,0.49,44734
8,672130,shop_1,lemon-boost,glass,500ml,0.7,18623
9,672130,shop_1,lemon-boost,plastic,1.5lt,2.21,9645
10,672130,shop_1,lemon-boost,can,330ml,0.52,19818
11,134219,shop_2,kinder-cola,glass,500ml,1.51,8943
12,134219,shop_2,kinder-cola,plastic,1.5lt,1.62,15073
13,134219,shop_2,kinder-cola,can,330ml,0.91,11174
14,134219,shop_2,adult-cola,glass,500ml,1,21063
15,134219,shop_2,orange-power,glass,500ml,0.88,21720
16,134219,shop_2,orange-power,,330ml,0.23,54780
17,134219,shop_2,gazoza,glass,500ml,0.58,41378
18,134219,shop_2,gazoza,plastic,1.5lt,1,30757
19,134219,shop_2,gazoza,can,330ml,0.26,49688
20,134219,shop_2,lemon-boost,glass,500ml,0.89,18582
21,134219,shop_2,lemon-boost,plastic,1.5lt,2.25,10348
22,134219,shop_2,lemon-boost,can,330ml,0.41,29015
23,164250,shop_6,kinder-cola,glass,500ml,1.11,17474
24,164250,shop_6,kinder-cola,plastic,1.5lt,3.84,8361
25,164250,shop_6,kinder-cola,can,330ml,0.57,26782
26,164250,shop_6,adult-cola,glass,500ml,1.17,19841
27,164250,shop_6,adult-cola,plastic,1.5lt,2.77,14917
28,164250,shop_6,adult-cola,can,330ml,0.65,26581
29,164250,shop_6,orange-power,plastic,1.5lt,1.65,30586
30,164250,shop_6,orange-power,can,330ml,0.33,66314
31,164250,shop_6,gazoza,glass,500ml,0.57,56428
32,164250,shop_6,gazoza,plastic,1.5lt,0.73,47386
33,164250,shop_6,gazoza,can,330ml,0.21,77667
34,164250,shop_6,lemon-boost,plastic,1.5lt,2.05,16090
35,164250,shop_6,lemon-boost,can,330ml,0.68,17127
36,346502,shop_4,kinder-cola,plastic,1.5lt,2.8,11306
37,346502,shop_4,kinder-cola,can,330ml,0.79,16018
38,346502,shop_4,adult-cola,plastic,1.5lt,2.99,12674
39,346502,shop_4,adult-cola,can,330ml,0.49,30194
40,346502,shop_4,orange-power,glass,500ml,0.96,23346
41,346502,shop_4,orange-power,plastic,1.5lt,2.15,12835
42,346502,shop_4,orange-power,can,330ml,0.41,40722
43,346502,shop_4,gazoza,can,330ml,0.28,48918
